,receptor,missing_frame
0,adora2a,at-frame800
1,adora2a,at-frame1200
2,adora2a,at-frame2200
3,adora2a,at-frame2400
4,adora2a,at-frame3200
5,adora2a,at-frame3600
6,adora2a,at-frame5000
7,adora2a,at-frame6000
8,adora2a,at-frame6600
9,adora2a,at-frame7000
10,adora2a,at-frame8200
11,adora2a,at-frame8600
12,adora2a,at-frame9800
13,adora2a,at-frame10800
14,adora2a,at-frame11600
15,adora2a,at-frame12000
16,adora2a,at-frame13000
17,adora2a,at-frame14000
18,adora2a,at-frame14400
19,adora2a,at-frame14800
20,adora2a,at-frame15000
21,adora2a,at-frame15200
22,adora2a,at-frame17800
23,adora2a,at-frame18600
24,adora2a,at-frame19000
25,adora2a,at-frame19400
26,adora2a,at-frame19800
27,adora2a,at-frame20400
28,adora2a,at-frame21000
29,adora2a,at-frame21800
30,adora2a,at-frame22400
31,adora2a,at-frame23200
32,adora2a,at-frame24800
33,adora2a,at-frame25200
34,adora2a,at-frame25600
35,adora2a,at-frame26600
36,adora2a,at-frame27000
37,adora2a,at-frame27400
38,adora2a,at-frame28000
39,adora2a,at-frame28400
40,adora2a,at-frame29400
41,adora2a,at-frame29800
42,adora2a,at-frame30000
43,adora2a,at-frame30800
44,adora2a,at-frame31000
45,adora2a,at-frame31200
46,adora2a,at-frame31400
47,adora2a,at-frame32400
48,adora2a,at-frame34400
49,adora2a,at-frame35400
50,adora2a,at-frame35600
51,adora2a,at-frame36200
52,adora2a,at-frame36400
53,adora2a,at-frame36600
54,adora2a,at-frame37000
55,adora2a,at-frame37400
56,adora2a,at-frame37600
57,adora2a,at-frame38000
58,adora2a,at-frame38400
59,adora2a,at-frame39000
60,adora2a,at-frame39200
61,adora2a,at-frame39400
62,adora2a,at-frame39800
63,adora2a,at-frame40000
64,adora2a,at-frame40600
65,adora2a,at-frame42000
66,adora2a,at-frame42200
67,adora2a,at-frame42600
68,adora2a,at-frame43800
69,adora2a,at-frame44200
70,adora2a,at-frame44400
71,adora2a,at-frame44800
72,adora2a,at-frame46200
73,adora2a,at-frame46600
74,adora2a,at-frame47000
75,adora2a,at-frame48200
76,adora2a,at-frame49000
77,adora2a,at-frame50200
78,adora2a,at-frame51600
79,adora2a,at-frame53800
80,adora2a,at-frame54400
81,adora2a,at-frame56800
82,adora2a,at-frame57000
83,adora2a,at-frame57200
84,adora2a,at-frame57600
85,adora2a,at-frame58800
86,adora2a,at-frame59600
87,adora2a,at-frame61800
88,adora2a,at-frame62600
89,adora2a,at-frame65000
90,adora2a,at-frame65400
91,adora2a,at-frame65800
92,adora2a,at-frame67400
93,adora2a,at-frame68000
94,adora2a,at-frame70000
95,adora2a,at-frame71400
96,adora2a,at-frame72000
97,adora2a,at-frame73600
98,adora2a,at-frame74000
99,adora2a,at-frame74600
100,adora2a,at-frame75200
101,adora2a,at-frame78800
102,adora2a,at-frame79200
103,adora2a,at-frame79400
104,adora2a,at-frame81000
105,adora2a,at-frame81400
106,adora2a,at-frame82400
107,adora2a,at-frame83800
108,adora2a,at-frame84200
109,adora2a,at-frame85000
110,adora2a,at-frame86800
111,adora2a,at-frame87800
112,adora2a,at-frame88000
113,adora2a,at-frame88400
114,adora2a,at-frame89600
115,adora2a,at-frame90800
116,adora2a,at-frame92600
117,adora2a,at-frame94200
118,adora2a,at-frame94600
119,adora2a,at-frame95200
120,adora2a,at-frame95800
121,adora2a,at-frame96200
122,adora2a,at-frame96800
123,adora2a,at-frame97400
124,adora2a,at-frame97600
125,adora2a,at-frame97800
126,adora2a,at-frame98000
127,adora2a,at-frame100200
128,adora2a,at-frame100600
129,adora2a,at-frame101600
130,adora2a,at-frame102600
131,adora2a,at-frame103000
132,adora2a,at-frame105400
133,adora2a,at-frame106000
134,adora2a,at-frame107400
135,adora2a,at-frame107600
136,adora2a,at-frame107800
137,adora2a,at-frame111200
138,adora2a,at-frame111800
139,adora2a,at-frame112200
140,adora2a,at-frame112400
141,adora2a,at-frame113200
142,adora2a,at-frame113400
143,adora2a,at-frame113600
144,adora2a,at-frame114200
145,adora2a,at-frame115400
146,adora2a,at-frame116600
147,adora2a,at-frame117600
148,adora2a,at-frame117800
149,adora2a,at-frame118800
150,adora2a,at-frame119200
151,adora2a,at-frame119400
152,adora2a,at-frame119600
153,adora2a,at-frame123000
154,adora2a,at-frame125800
155,adora2a,at-frame128000
156,adora2a,at-frame128800
157,adora2a,at-frame129200
158,adora2a,at-frame129800
159,adora2a,at-frame130600
160,adora2a,at-frame130800
161,adora2a,at-frame131400
162,adora2a,at-frame131600
163,adora2a,at-frame131800
164,adora2a,at-frame133200
165,adora2a,at-frame135000
166,adora2a,at-frame135800
167,adora2a,at-frame136200
168,adora2a,at-frame138000
169,adora2a,at-frame138800
170,adora2a,at-frame139000
171,adora2a,at-frame139600
172,adora2a,at-frame140400
173,adora2a,at-frame142000
174,adora2a,at-frame142400
175,adora2a,at-frame144600
176,adora2a,at-frame146600
177,adora2a,at-frame147200
178,adora2a,at-frame148200
179,adora2a,at-frame149600
180,adora2a,at-frame150000
