,receptor,trajectory_index,missing_file
0,adora2a,16,at-frame3200.pdbqt
1,adora2a,89,at-frame17800.pdbqt
2,adora2a,154,at-frame30800.pdbqt
3,adora2a,156,at-frame31200.pdbqt
4,adora2a,172,at-frame34400.pdbqt
5,adora2a,178,at-frame35600.pdbqt
6,adora2a,182,at-frame36400.pdbqt
7,adora2a,196,at-frame39200.pdbqt
8,adora2a,285,at-frame57000.pdbqt
9,adora2a,309,at-frame61800.pdbqt
10,adora2a,340,at-frame68000.pdbqt
11,adora2a,350,at-frame70000.pdbqt
12,adora2a,360,at-frame72000.pdbqt
13,adora2a,419,at-frame83800.pdbqt
14,adora2a,425,at-frame85000.pdbqt
15,adora2a,454,at-frame90800.pdbqt
16,adora2a,476,at-frame95200.pdbqt
17,adora2a,479,at-frame95800.pdbqt
18,adora2a,487,at-frame97400.pdbqt
19,adora2a,488,at-frame97600.pdbqt
20,adora2a,501,at-frame100200.pdbqt
21,adora2a,503,at-frame100600.pdbqt
22,adora2a,515,at-frame103000.pdbqt
23,adora2a,644,at-frame128800.pdbqt
24,adora2a,646,at-frame129200.pdbqt
25,adora2a,649,at-frame129800.pdbqt
26,adora2a,679,at-frame135800.pdbqt
27,adora2a,750,at-frame150000.pdbqt
28,adora2a,785,at-frame157000.pdbqt
29,adora2a,828,at-frame165600.pdbqt
30,adora2a,838,at-frame167600.pdbqt
31,adora2a,843,at-frame168600.pdbqt
32,adora2a,888,at-frame177600.pdbqt
33,adora2a,889,at-frame177800.pdbqt
34,adora2a,896,at-frame179200.pdbqt
35,adora2a,930,at-frame186000.pdbqt
36,adora2a,955,at-frame191000.pdbqt
37,adora2a,957,at-frame191400.pdbqt
38,adora2a,1009,at-frame201800.pdbqt
39,adora2a,1023,at-frame204600.pdbqt
40,adora2a,1047,at-frame209400.pdbqt
41,adora2a,1069,at-frame213800.pdbqt
42,adora2a,1079,at-frame215800.pdbqt
43,adora2a,1086,at-frame217200.pdbqt
44,adora2a,1118,at-frame223600.pdbqt
45,adora2a,1193,at-frame238600.pdbqt
46,adora2a,1207,at-frame241400.pdbqt
47,adora2a,1271,at-frame254200.pdbqt
48,adora2a,1277,at-frame255400.pdbqt
49,adora2a,1298,at-frame259600.pdbqt
50,adora2a,1300,at-frame260000.pdbqt
51,adora2a,1381,at-frame276200.pdbqt
52,adora2a,1382,at-frame276400.pdbqt
53,adora2a,1433,at-frame286600.pdbqt
54,adora2a,1517,at-frame303400.pdbqt
55,adora2a,1520,at-frame304000.pdbqt
56,adora2a,1530,at-frame306000.pdbqt
57,adora2a,1531,at-frame306200.pdbqt
58,adora2a,1533,at-frame306600.pdbqt
59,adora2a,1536,at-frame307200.pdbqt
60,adora2a,1538,at-frame307600.pdbqt
61,adora2a,1583,at-frame316600.pdbqt
62,adora2a,1588,at-frame317600.pdbqt
63,adora2a,1599,at-frame319800.pdbqt
64,adora2a,1643,at-frame328600.pdbqt
65,adora2a,1654,at-frame330800.pdbqt
66,adora2a,1662,at-frame332400.pdbqt
67,adora2a,1668,at-frame333600.pdbqt
68,adora2a,1682,at-frame336400.pdbqt
69,adora2a,1693,at-frame338600.pdbqt
70,adora2a,1712,at-frame342400.pdbqt
71,adora2a,1733,at-frame346600.pdbqt
72,adora2a,1744,at-frame348800.pdbqt
73,adora2a,1783,at-frame356600.pdbqt
74,adora2a,1793,at-frame358600.pdbqt
75,adora2a,1830,at-frame366000.pdbqt
76,adora2a,1852,at-frame370400.pdbqt
77,adora2a,1885,at-frame377000.pdbqt
78,adora2a,1912,at-frame382400.pdbqt
79,adora2a,1943,at-frame388600.pdbqt
80,adora2a,1970,at-frame394000.pdbqt
