"frame_num","actives_count_top5","actives_count_top1","actives_count_top05"
"0","67","2",\N
"1000","36","3","3"
"10000","63","5","3"
"100000","36","2","1"
"1000600","74","19","10"
"1001400","83","20","9"
"100400","36","7","6"
"1004400","115","25","8"
"1007600","41","9","4"
"100800","51","2","1"
"101000","33","2","2"
"1010000","82","19","10"
"1010400","121","35","23"
"101200","46","4","3"
"101400","47","4","4"
"1014400","42","1","1"
"1017200","67","13","2"
"101800","40","20","4"
"1018200","49","13",\N
"10200","27","2","2"
"102000","57","6","1"
"1020200","73","5","1"
"1021400","39","7","3"
"102200","53","6","6"
"102400","35","5","2"
"102800","52","5","3"
"1031400","116","20","8"
"1031800","42","8",\N
"103200","58","2",\N
"103400","41","3",\N
"1034800","79","6",\N
"103600","42","2","1"
"103800","66","2","1"
"1039600","22","2",\N
"10400","91","22","16"
"104000","52","19","1"
"104200","61","7","2"
"1042400","41","5","3"
"104400","62","5","2"
"1044000","75","4","3"
"104600","52","3","3"
"104800","50","10","9"
"105000","36","3","2"
"105200","29","4","2"
"1055800","47",\N,\N
"105600","46","4","2"
"105800","66","17","8"
"10600","43","2",\N
"1061000","68","14","13"
"106200","28","3","1"
"1062800","34",\N,\N
"106400","50",\N,\N
"106600","43","8","8"
"106800","33","4","4"
"107000","33","3","2"
"107200","42","6","2"
"108000","55","7","3"
"108200","48","17","16"
"1082800","115","14","5"
"108400","49","5","3"
"1084200","63","5","3"
"108600","47","7","2"
"108800","42","2","2"
"1088400","154","36","12"
"1089400","89","10","2"
"109000","38","3","2"
"109200","24","3","2"
"109400","25","4","3"
"1095000","91","6","4"
"109600","18","6","3"
"109800","37","17","1"
"11000","50","4","1"
"110000","54","17",\N
"110200","58","16","16"
"110400","23","2","1"
"110600","38","2",\N
"110800","45","7","2"
"111000","43","8","5"
"1110000","91","15","4"
"111400","47","8","6"
"111600","34","4","2"
"1118800","98","15","5"
"11200","47","23","19"
"112000","36","1","1"
"1122800","58","4","2"
"112600","38","4","2"
"112800","69","7","3"
"113000","56","5","3"
"1133600","95","19","10"
"113800","52","7","4"
"1138400","73","14","7"
"11400","41","7","4"
"114000","45","3","2"
"114400","35","4","3"
"1145800","98","26","16"
"114600","34","11","10"
"114800","30","1","1"
"115000","35","3","2"
"115200","41","19","18"
"115600","39","1","1"
"115800","31","2","1"
"116000","32","3","2"
"116200","51","5","2"
"116400","40","4","4"
"116800","32","5","3"
"117000","44","3","1"
"117200","28","3",\N
"117400","43","4","2"
"11800","50","19","2"
"118000","49","4","4"
"118200","38","3","1"
"118400","57","9","4"
"118600","39","1","1"
"119000","32","3",\N
"119800","41","7",\N
"120000","68","7","2"
"120200","52","22",\N
"120400","57","6","3"
"120600","34","1","1"
"120800","55","10","5"
"121000","93","9","5"
"121200","43","2","2"
"121400","57","1","1"
"121600","47","3","2"
"121800","53","3","1"
"12200","43","3","1"
"122000","42","1","1"
"122200","38","4","1"
"122400","63","20","1"
"122600","42","2","1"
"122800","32","2","1"
"123200","42","7","4"
"123400","71","4",\N
"123600","58","6","2"
"123800","47","4",\N
"12400","45","3",\N
"124000","48","2","1"
"124200","38","2",\N
"124400","33","1","1"
"124600","45","3","1"
"124800","37","2","1"
"125000","37","2","1"
"125200","52","3","2"
"125400","35","3","3"
"125600","45","18",\N
"12600","41","3","1"
"126000","45","1","1"
"126200","48","2",\N
"126400","32","2","2"
"126600","55","1","1"
"126800","44","2","1"
"127000","38","2",\N
"127200","44","3",\N
"127400","47","3","2"
"127600","44","2","1"
"127800","43","3","2"
"12800","38","7","2"
"128200","52","9","8"
"128400","32","2","1"
"128600","45","5","4"
"129000","30","16",\N
"129400","41","2","1"
"129600","44","3","3"
"130000","30","1","1"
"130200","37","2","2"
"130400","34","5","5"
"131000","41","21","19"
"131200","28","19","19"
"13200","67","7",\N
"132000","33","2","2"
"132200","29","1","1"
"132400","43","4","1"
"132600","41","17",\N
"132800","41","9","4"
"133000","31","2","1"
"133400","50","6","5"
"133600","48","8","6"
"133800","49","6","6"
"13400","24",\N,\N
"134000","44","4","2"
"134200","45","19","18"
"134400","45","12","7"
"134600","92","24","11"
"134800","39","5",\N
"135200","71","19","14"
"135400","16","1",\N
"135600","26","3","2"
"13600","34",\N,\N
"136000","46",\N,\N
"136400","29","6","2"
"136600","64","3","2"
"136800","35","2","2"
"137000","24","4","2"
"137200","47","3","1"
"137400","50","18","16"
"137600","26","8","3"
"137800","43","4",\N
"13800","33","2","1"
"138200","44","1","1"
"138400","27","4","2"
