frame_num,count(*)
1000,3
10000,3
100000,1
1000600,10
1001400,6
100400,5
1004400,6
1007600,1
100800,1
101000,2
1010000,5
1010400,20
101200,3
101400,4
1014400,1
1017200,1
101800,4
10200,2
102000,1
1020200,1
1021400,3
102200,6
102400,2
102800,3
1031400,7
103600,1
103800,1
10400,1
104000,1
104200,2
1042400,3
104400,2
1044000,2
104600,3
104800,9
105000,2
105200,2
105600,2
105800,8
1061000,11
106200,1
106600,4
106800,4
107000,2
107200,2
108000,3
108200,2
1082800,4
108400,3
1084200,1
108600,2
108800,2
1088400,5
1089400,1
109000,2
109200,2
109400,3
1095000,2
109600,3
109800,1
11000,1
110200,2
110400,1
110800,2
111000,5
1110000,1
111400,6
111600,2
1118800,4
11200,3
112000,1
1122800,2
112600,2
112800,3
113000,3
1133600,5
113800,4
1138400,5
11400,4
114000,2
114400,3
1145800,8
114600,6
114800,1
115000,2
115200,4
115600,1
115800,1
116000,2
116200,2
116400,4
116800,3
117000,1
117400,2
11800,2
118000,4
118200,1
118400,4
118600,1
120000,2
120400,3
120600,1
120800,4
121000,5
121200,1
121400,1
121600,2
121800,1
12200,1
122000,1
122200,1
122400,1
122600,1
122800,1
123200,3
123600,1
124000,1
124400,1
124600,1
124800,1
125000,1
125200,2
125400,3
12600,1
126000,1
126400,2
126600,1
126800,1
127400,2
127600,1
127800,2
12800,2
128200,8
128400,1
128600,4
129400,1
129600,3
130000,1
130200,2
130400,4
131000,5
131200,4
132000,2
132200,1
132400,1
132800,4
133000,1
133400,5
133600,4
133800,4
134000,2
134200,3
134400,5
134600,4
135200,14
135600,2
136400,2
136600,2
136800,2
137000,2
137200,1
137400,1
137600,2
13800,1
138200,1
138400,2
139200,2
139400,3
139800,2
1400,6
140200,1
140600,1
140800,2
141000,1
141200,2
141400,2
141600,1
141800,6
14200,3
142200,1
142800,1
143000,3
143200,1
143400,2
143800,1
144000,2
144200,8
144400,2
144800,1
145400,3
145600,1
145800,1
14600,1
146000,1
146200,2
146400,1
146800,1
147400,1
147600,2
147800,2
148000,2
148400,1
148600,2
148800,2
149000,1
149200,5
149400,2
149800,3
150600,1
151000,3
151200,1
151600,3
152600,1
153200,7
153400,1
153800,7
15400,1
154000,12
154200,1
154400,1
154600,3
155400,2
156000,1
156200,2
156800,3
157200,6
157400,1
157600,1
157800,1
15800,2
158200,1
158600,1
159200,3
159400,1
1600,1
16000,1
160000,2
160200,4
160400,2
160600,5
160800,1
161000,2
161200,1
161600,3
161800,2
16200,1
162000,5
162400,4
162800,1
163200,2
163600,2
163800,4
16400,2
164200,1
164400,2
164600,3
164800,3
165000,1
165200,3
165400,4
16600,1
166200,4
166400,4
166600,4
166800,2
167800,2
16800,2
168400,3
169000,3
169800,2
17000,1
170000,2
170600,2
170800,2
171000,3
171200,4
171400,1
171600,2
171800,2
17200,1
172000,3
172400,3
172600,3
173400,3
173800,6
17400,1
174400,1
174600,3
175600,3
175800,2
17600,1
176000,4
176200,11
176400,1
176600,4
177000,6
177200,1
178400,2
178800,3
179000,5
179400,2
1800,3
180000,1
180200,1
180600,3
180800,1
181000,4
181200,2
181400,1
181600,2
182400,2
182600,2
182800,2
183200,2
183600,2
18400,3
184200,1
184400,4
184600,1
184800,2
185200,2
185600,4
185800,2
186200,2
186400,5
186600,1
186800,1
187400,1
187600,1
18800,2
188000,2
188200,2
188400,3
188600,2
188800,1
189000,4
189200,1
189400,1
189600,4
189800,4
190000,4
190200,1
190600,1
190800,2
191200,1
191800,2
192400,2
192800,3
193000,2
193200,3
193400,2
193600,1
194000,2
194400,2
194600,1
194800,1
195200,2
195400,4
195600,3
195800,2
19600,1
196400,1
196800,3
197000,1
197400,3
198000,13
198400,1
198600,2
198800,3
199000,3
199200,3
199400,1
199600,1
199800,2
200,4
2000,4
20000,1
200600,1
200800,3
201400,1
201600,2
20200,3
202000,1
202200,1
202600,2
202800,3
203000,4
203400,4
203600,2
203800,1
204000,1
204200,2
205200,2
205400,2
205600,3
205800,3
20600,4
206000,3
206200,1
206400,2
206600,1
206800,2
207000,1
207200,1
207400,2
207600,3
207800,2
20800,1
208000,2
208800,2
209000,1
209600,3
209800,3
210000,1
210200,2
210800,3
211200,2
211400,2
21200,1
212400,5
212800,1
213000,2
213400,1
21400,1
214000,1
214200,1
214400,1
214600,3
214800,3
215000,1
215400,8
215600,3
216000,2
216200,6
216400,4
217000,3
217400,7
217600,1
217800,2
218400,1
219000,1
219200,2
219600,2
219800,1
22000,1
220000,4
220200,6
220400,2
220800,9
221200,3
221400,4
221600,2
22200,3
222200,1
222400,2
222600,6
222800,1
223000,3
223200,2
223800,10
224200,4
224400,1
224600,3
224800,3
225200,8
225400,1
225800,1
22600,1
226000,2
226200,1
226400,12
226800,3
227000,2
227200,18
227600,1
227800,2
228000,1
228200,2
228400,4
228600,2
229000,2
229200,1
229400,2
229600,1
229800,1
23000,2
230000,1
230200,2
230400,2
230800,1
231000,1
231400,2
231600,2
231800,12
232000,1
232200,2
233400,2
233600,2
234000,2
234200,1
234600,2
234800,3
235400,6
235600,18
235800,4
23600,1
236200,3
236400,3
236600,1
236800,1
237000,1
237200,2
237400,1
237800,3
238000,6
238800,1
239800,8
24000,1
