,f_name,k,inds,frame_number
0,pairwise distance to 4 points,1,[1220],[243800]
1,pairwise distance to 4 points,2,[ 843 2341],"[168400, 468000]"
2,pairwise distance to 4 points,3,[ 843 2527 2420],"[168400, 505200, 483800]"
3,pairwise distance to 4 points,4,[2527  642 2420  834],"[505200, 128200, 483800, 166600]"
4,pairwise distance to 4 points,5,[ 834 2329 2397  642 2239],"[166600, 465600, 479200, 128200, 447600]"
5,pairwise distance to 4 points,6,[2397  227 2329  642 2239 1037],"[479200, 45200, 465600, 128200, 447600, 207200]"
6,pairwise distance to 4 points,7,[ 642 1615 2392 1037 2329 2531  227],"[128200, 322800, 478200, 207200, 465600, 506000, 45200]"
7,pairwise distance to 4 points,8,[1072 1615  703  810 2531 2392 1044 2329],"[214200, 322800, 140400, 161800, 506000, 478200, 208600, 465600]"
8,pairwise distance to 4 points,9,[2531  703 2136 1615 2329  810 2409 1072 1044],"[506000, 140400, 427000, 322800, 465600, 161800, 481600, 214200, 208600]"
9,pairwise distance to 4 points,10,[ 810 2409 1056 2329 1615 1928   43 1044  741 2531],"[161800, 481600, 211000, 465600, 322800, 385400, 8400, 208600, 148000, 506000]"
10,pairwise distance to 4 points,11,[1928 1037 1615 ...   43 2429 2409],"[385400, 207200, 322800, 148000, 506000, 211000, 505400, 161800, 8400, 485600, 481600]"
11,pairwise distance to 4 points,12,[2531  810 2429 ... 1615 2136  326],"[506000, 161800, 485600, 207200, 148000, 505400, 558200, 211000, 270600, 322800, 427000, 65000]"
12,pairwise distance to 4 points,13,[2531  811 1808 ... 2136   43 2792],"[506000, 162000, 361400, 208600, 153400, 485600, 144400, 322800, 211000, 270600, 427000, 8400, 558200]"
13,pairwise distance to 4 points,14,[1044 2429  827 ... 2858 1354 2528],"[208600, 485600, 165200, 127000, 211000, 481600, 175000, 509600, 447600, 148000, 427000, 571400, 270600, 505400]"
14,pairwise distance to 4 points,15,[ 237 2429  636 ... 1948 1056  772],"[47200, 485600, 127000, 481600, 208600, 390600, 171200, 270600, 506000, 505400, 144400, 447600, 389400, 211000, 154200]"
