,f_name,k,inds,frame_number
0,pairwise dist,1,[2650],[529800]
1,pairwise dist,2,[2188  573],"[437400, 114400]"
2,pairwise dist,3,[ 573 1353 2788],"[114400, 270400, 557400]"
3,pairwise dist,4,[ 312 2358 2788 1046],"[62200, 471400, 557400, 209000]"
4,pairwise dist,5,[ 312 2212 1379 1046 2788],"[62200, 442200, 275600, 209000, 557400]"
5,pairwise dist,6,[ 736 1379  577 1046 2788 2212],"[147000, 275600, 115200, 209000, 557400, 442200]"
6,pairwise dist,7,[1379  577 2638 2955  736 2212 1046],"[275600, 115200, 527400, 590800, 147000, 442200, 209000]"
7,pairwise dist,8,[1331  577 2638 2212 2955 1046  736 1440],"[266000, 115200, 527400, 442200, 590800, 209000, 147000, 287800]"
8,pairwise dist,9,[ 866 2638  146 2212 1331 1046  721 2955 1440],"[173000, 527400, 29000, 442200, 266000, 209000, 144000, 590800, 287800]"
9,pairwise dist,10,[1440  104 2955 2638 1046  721 2212  866  365 1331],"[287800, 20600, 590800, 527400, 209000, 144000, 442200, 173000, 72800, 266000]"
10,pairwise dist,11,[2955  104 2212 ...  866 2638 1331],"[590800, 20600, 442200, 72800, 497200, 418200, 144000, 209000, 173000, 527400, 266000]"
11,pairwise dist,12,[1938  721 1331 ... 2212  104  866],"[387400, 144000, 266000, 590800, 209000, 287800, 72800, 376800, 522200, 442200, 20600, 173000]"
12,pairwise dist,13,[2092  365  104 ... 1046 1331 2612],"[418200, 72800, 20600, 144000, 590800, 497200, 173000, 329600, 387400, 298400, 209000, 266000, 522200]"
13,pairwise dist,14,[ 104 1382 1938 ... 2092 1046 1877],"[20600, 276200, 387400, 329600, 72800, 590800, 173000, 522200, 449400, 144000, 266000, 418200, 209000, 375200]"
14,pairwise dist,15,[1019 1649 1382 ... 2248 1938  721],"[203600, 329600, 276200, 166200, 522200, 590800, 72800, 20600, 375200, 266000, 209000, 418200, 449400, 387400, 144000]"
15,pairwise dist,16,[2057 1649  632 ...  565 2092 2248],"[411200, 329600, 126200, 285600, 209000, 576000, 396800, 72800, 20600, 375200, 576800, 144000, 266000, 112800, 418200, 449400]"
16,pairwise dist,17,[ 104 1331 2881 ...  558 1019 1649],"[20600, 266000, 576000, 160600, 144000, 209000, 375200, 576800, 411200, 166200, 449400, 396800, 276200, 418200, 111400, 203600, 329600]"
17,pairwise dist,18,[ 102 1649 2487 ... 2057  365 2885],"[20200, 329600, 497200, 396800, 144000, 209000, 194800, 576000, 515200, 449400, 177200, 9600, 275600, 375200, 266000, 411200, 72800, 576800]"
18,pairwise dist,19,[1332  832 2248 ... 2686 1914 2432],"[266200, 166200, 449400, 396800, 203600, 515200, 20600, 375200, 209000, 329600, 419400, 112800, 72800, 576800, 576000, 144000, 537000, 382600, 486200]"
19,pairwise dist,20,[2785   49 1229 ...  832  565 2630],"[556800, 9600, 245600, 194800, 209000, 329600, 272800, 389000, 576800, 418200, 72800, 449400, 144000, 576000, 24800, 375200, 266000, 166200, 112800, 525800]"
20,pairwise dist,21,[1870  887 2881 ... 1019 1365 1331],"[373800, 177200, 576000, 242200, 413000, 209000, 456600, 162000, 576800, 419600, 387400, 20600, 329600, 72800, 144000, 556800, 418200, 449400, 203600, 272800, 266000]"
21,pairwise dist,22,[1375  582 2877 ... 2457 2131 1046],"[274800, 116200, 575200, 449400, 220400, 387400, 444800, 194800, 558400, 144000, 112800, 266000, 264400, 576000, 396800, 329600, 72800, 105400, 83200, 491200, 426000, 209000]"
22,pairwise dist,23,[2424  582 1458 ...  125 1725 2881],"[484600, 116200, 291400, 72800, 329600, 152600, 209000, 576800, 449200, 266000, 389000, 274800, 144000, 375200, 285600, 177200, 413000, 515200, 194800, 106600, 24800, 344800, 576000]"
23,pairwise dist,24,[1019 2144 1985 ... 1877 2457 2930],"[203600, 428600, 396800, 449200, 105400, 166200, 537000, 209000, 419600, 576800, 9600, 111400, 144000, 411200, 576000, 307600, 329600, 72800, 423800, 272800, 549200, 375200, 491200, 585800]"
24,pairwise dist,25,[1046 1331  417 ... 1649 1365 2456],"[209000, 266000, 83200, 576800, 413000, 438000, 112800, 449200, 444800, 307600, 182000, 389000, 105400, 205000, 576000, 137600, 72800, 423800, 522200, 428600, 291400, 116200, 329600, 272800, 491000]"
25,pairwise dist,26,[ 565 2122 2057 ...  528 2457 2147],"[112800, 424200, 411200, 209000, 375200, 576000, 576800, 137600, 423800, 266000, 116200, 457600, 182000, 72800, 396800, 264400, 83200, 272800, 307600, 442200, 205000, 558400, 329600, 105400, 491200, 429200]"
26,pairwise dist,27,[  49 2238 2099 ... 1970  565 2794],"[9600, 447400, 419600, 525600, 576800, 209000, 137600, 522200, 272800, 423800, 329600, 72800, 387400, 418200, 205000, 375200, 491200, 182000, 576000, 266000, 442200, 166200, 307600, 105400, 393800, 112800, 558600]"
27,pairwise dist,28,[2877  887 1539 ... 2238 2058 1365],"[575200, 177200, 307600, 525600, 269200, 215400, 375200, 203600, 160600, 162000, 558600, 555200, 442200, 242200, 329600, 576000, 182000, 418200, 226600, 77400, 266000, 137600, 389000, 116200, 105400, 447400, 411400, 272800]"
28,pairwise dist,29,[1019 2233  582 ... 2930 1877 2284],"[203600, 446400, 116200, 396800, 424600, 209000, 449200, 423800, 137600, 162000, 438000, 576000, 177200, 77400, 489000, 252600, 576800, 389000, 307600, 182000, 105400, 266000, 160600, 291400, 419400, 484600, 585800, 375200, 456600]"
29,pairwise dist,30,[ 172 2885 1539 ...  804 1970 2612],"[34200, 576800, 307600, 194800, 525600, 428600, 138400, 457600, 209000, 585800, 9600, 442200, 171400, 63400, 266000, 272800, 378600, 491200, 75600, 83200, 375200, 558400, 579000, 187200, 274800, 329600, 423800, 160600, 393800, 522200]"
30,pairwise dist,31,[2612  417 2198 ... 2424  528 1375],"[522200, 83200, 439400, 272800, 220200, 579000, 9600, 344800, 137600, 411200, 78200, 182000, 541000, 329600, 177200, 442200, 72800, 246600, 576800, 588800, 456600, 547600, 205000, 375200, 215400, 423800, 558400, 413000, 484600, 105400, 274800]"
31,pairwise dist,32,[1365 1019 2212 ...  797 1331 1539],"[272800, 203600, 442200, 390400, 220800, 111400, 585800, 423800, 173000, 556800, 177200, 491200, 576000, 411400, 105400, 576800, 531000, 274800, 62200, 329600, 182000, 428600, 413000, 220400, 144400, 375200, 457600, 72800, 116200, 159200, 266000, 307600]"
32,pairwise dist,33,[1953 1331  811 ... 1019 1234 1539],"[390400, 266000, 162000, 484600, 421000, 209000, 329600, 576000, 77600, 137600, 576800, 424600, 449200, 78200, 105400, 423800, 218800, 413000, 177200, 160600, 515200, 302000, 411400, 456600, 182000, 588800, 9600, 59000, 375200, 556800, 203600, 246600, 307600]"
33,pairwise dist,34,[ 528 2777 2279 ... 2212 1302  392],"[105400, 555200, 455600, 144000, 209000, 479000, 423800, 576800, 393800, 177200, 77600, 418200, 272800, 329600, 9600, 558600, 162000, 429200, 579000, 266000, 396800, 59000, 203600, 160600, 378600, 588800, 530600, 215400, 484600, 457000, 375200, 442200, 260200, 78200]"
34,pairwise dist,35,[ 911 1761 2885 ... 2131 2099  811],"[182000, 352000, 576800, 160600, 78200, 382600, 484600, 439400, 9600, 209000, 307600, 378400, 579000, 411200, 77600, 536600, 597400, 375200, 396800, 194800, 137600, 75600, 558400, 302000, 537400, 203200, 442200, 446200, 173000, 105400, 428600, 423800, 426000, 419600, 162000]"
35,pairwise dist,36,[1511  866 2885 ... 2793 1323  723],"[302000, 173000, 576800, 209000, 393800, 274800, 8200, 447400, 423800, 429200, 522200, 182000, 177200, 63400, 370000, 162000, 272800, 375200, 579000, 456600, 209000, 266000, 598000, 203600, 413000, 307600, 411400, 442200, 484600, 116200, 72800, 588800, 480400, 558400, 264400, 144400]"
36,pairwise dist,37,[1103 2654  528 ... 2612  675 2314],"[220400, 530600, 105400, 393800, 138400, 375200, 579000, 272800, 177000, 160600, 182000, 479000, 413000, 209000, 55400, 558600, 266000, 387400, 449400, 194800, 307600, 173000, 78200, 585800, 576800, 9600, 423800, 279600, 197800, 274800, 484600, 310600, 544800, 438200, 522200, 134800, 462600]"
37,pairwise dist,38,[2147  389 2896 ... 2629 1365  866],"[429200, 77600, 579000, 209000, 555200, 447400, 105400, 182000, 329600, 389000, 266000, 484600, 558400, 162000, 591200, 177200, 203600, 232400, 375200, 274800, 134800, 307600, 242200, 116200, 170000, 411400, 347000, 72800, 209000, 442200, 138400, 78200, 576800, 428600, 585800, 525600, 272800, 173000]"
38,pairwise dist,39,[1539  582 1946 ... 2881 2141 1877],"[307600, 116200, 389000, 418800, 218800, 182000, 447400, 67200, 576800, 267200, 137600, 537000, 72800, 177200, 456600, 91000, 209000, 556800, 428600, 419400, 484600, 75600, 439400, 370000, 105400, 449200, 587400, 205000, 396800, 260200, 539800, 462600, 170000, 378600, 34200, 294400, 576000, 428000, 375200]"
39,center of mass,1,[2013],[402400]
40,center of mass,2,[ 287 1039],"[57200, 207600]"
41,center of mass,3,[2264 1159  436],"[452600, 231600, 87000]"
42,center of mass,4,[1438 2880  308 2264],"[287400, 575800, 61400, 452600]"
43,center of mass,5,[2312 1427 2880  308 1724],"[462200, 285200, 575800, 61400, 344600]"
44,center of mass,6,[2280 1427  308 2791 2590 1727],"[455800, 285200, 61400, 558000, 517800, 345200]"
45,center of mass,7,[1134 2590 1758 1312  308 2281 2791],"[226600, 517800, 351400, 262200, 61400, 456000, 558000]"
46,center of mass,8,[1134 2590  501 1312 2160 2791 1751  723],"[226600, 517800, 100000, 262200, 431800, 558000, 350000, 144400]"
47,center of mass,9,[ 723 1662  113 2588 2791 1751 2160 1312  360],"[144400, 332200, 22400, 517400, 558000, 350000, 431800, 262200, 71800]"
48,center of mass,10,[2492 1751  316 1134 1312 2745  113 2160  446  723],"[498200, 350000, 63000, 226600, 262200, 548800, 22400, 431800, 89000, 144400]"
49,center of mass,11,[1652  316 2745 ... 1751 1060  723],"[330200, 63000, 548800, 498200, 430200, 259400, 22400, 89000, 350000, 211800, 144400]"
50,center of mass,12,[1598  446 2219 ... 1298 1888  113],"[319400, 89000, 443600, 63000, 143600, 330400, 548800, 407400, 498200, 259400, 377400, 22400]"
51,center of mass,13,[2444 1298 2219 ... 1888 1060 2256],"[488600, 259400, 443600, 111600, 166200, 587800, 548800, 330200, 22400, 76000, 377400, 211800, 451000]"
52,center of mass,14,[1598 2421 2054 ... 2737 2242 1145],"[319400, 484000, 410600, 377400, 101000, 259400, 111600, 173600, 152200, 22400, 599200, 547200, 448200, 228800]"
53,center of mass,15,[1628 2420 2346 ... 1853  832  559],"[325400, 483800, 469000, 268400, 22400, 231400, 548800, 494400, 343000, 101000, 215400, 429800, 370400, 166200, 111600]"
54,center of mass,16,[ 875 2997 1585 ...  677 1438 2150],"[174800, 599200, 316800, 190800, 101000, 370400, 520600, 547200, 343000, 268400, 111600, 22400, 453200, 135200, 287400, 429800]"
