,f_name,k,inds,frame_number
0,pairwise dist,1,[1448],[289400]
1,pairwise dist,2,[1448  618],"[289400, 123400]"
2,pairwise dist,3,[ 618 2338 2645],"[123400, 467400, 528800]"
3,pairwise dist,4,[2645  967 2338  321],"[528800, 193200, 467400, 64000]"
4,pairwise dist,5,[1351  321 1820  967 2848],"[270000, 64000, 363800, 193200, 569400]"
5,pairwise dist,6,[1820 1206  859  321 1137 2811],"[363800, 241000, 171600, 64000, 227200, 562000]"
6,pairwise dist,7,[ 697  255 1820 2848  859 1351 1137],"[139200, 50800, 363800, 569400, 171600, 270000, 227200]"
7,pairwise dist,8,[1820  697 1206 1137 2848  859  255 1966],"[363800, 139200, 241000, 227200, 569400, 171600, 50800, 393000]"
8,pairwise dist,9,[1206 1820  255  697 2848 1137 1966  859 2736],"[241000, 363800, 50800, 139200, 569400, 227200, 393000, 171600, 547000]"
9,pairwise dist,10,[2462  255 1966 1137 1437  859 1820 2848 2736  697],"[492200, 50800, 393000, 227200, 287200, 171600, 363800, 569400, 547000, 139200]"
10,pairwise dist,11,[1137 1820 2736 ... 1966  697 2462],"[227200, 363800, 547000, 171600, 37200, 118400, 287200, 569400, 393000, 139200, 492200]"
11,pairwise dist,12,[2736  187 1653 ...  697  593 2462],"[547000, 37200, 330400, 227200, 287200, 171600, 569400, 393000, 453800, 139200, 118400, 492200]"
12,pairwise dist,13,[1437 1137 1767 ... 2736 2462 1818],"[287200, 227200, 353200, 37200, 453800, 171600, 569400, 139200, 118400, 393000, 547000, 492200, 363400]"
13,pairwise dist,14,[ 977 1767 1437 ...  593 2270 1818],"[195200, 353200, 287200, 37200, 569400, 157400, 139200, 492200, 393000, 227200, 547000, 118400, 453800, 363400]"
14,pairwise dist,15,[1966  365 2462 ...  977 1653 2777],"[393000, 72800, 492200, 139200, 453800, 157400, 22000, 590600, 227200, 547000, 287200, 111200, 195200, 330400, 555200]"
15,pairwise dist,16,[1966 1437  187 ... 1818 2777  845],"[393000, 287200, 37200, 227200, 189200, 453800, 590600, 196800, 118400, 139200, 353200, 493400, 547000, 363400, 555200, 168800]"
16,pairwise dist,17,[ 985  697 2126 ... 1767 1818  845],"[196800, 139200, 425000, 453800, 227200, 37200, 590600, 240800, 189200, 393000, 118400, 547000, 253400, 555200, 353200, 363400, 168800]"
17,pairwise dist,18,[ 365 1818 1268 ...  985 2777 2555],"[72800, 363400, 253400, 227200, 590600, 163800, 139200, 425000, 393000, 453800, 111200, 547000, 22000, 353200, 187400, 196800, 555200, 510800]"
18,pairwise dist,19,[ 365 2468 1818 ...  985 1490  820],"[72800, 493400, 363400, 187400, 590600, 227200, 389000, 139200, 287200, 54000, 45200, 547000, 453800, 555200, 353200, 104000, 196800, 297800, 163800]"
19,pairwise dist,20,[ 820 1818 1206 ...  985 1774 2194],"[163800, 363400, 241000, 22000, 590600, 227200, 555200, 453800, 111200, 389000, 139200, 187400, 415800, 253400, 547000, 72800, 297800, 196800, 354600, 438600]"
20,pairwise dist,21,[ 820 1205 2270 ... 1277 2126 1818],"[163800, 240800, 453800, 104000, 50800, 290200, 555200, 227200, 353200, 507600, 389000, 590600, 34400, 139200, 545400, 187400, 72800, 196800, 255200, 425000, 363400]"
21,pairwise dist,22,[2270 1268  227 ... 2788 1774 1172],"[453800, 253400, 45200, 196800, 361400, 139200, 590600, 215200, 389000, 111200, 317400, 240800, 547000, 401800, 163800, 78400, 187400, 425000, 42000, 557400, 354600, 234200]"
22,pairwise dist,23,[2455  187 2788 ... 1818 1172  557],"[490800, 37200, 557400, 215200, 163800, 449400, 139200, 353200, 545400, 253400, 389000, 42000, 78400, 453800, 590600, 401800, 507600, 187400, 196800, 425000, 363400, 234200, 111200]"
23,pairwise dist,24,[ 111 1588 2010 ...  593  938 2126],"[22000, 317400, 401800, 196800, 587400, 240800, 139200, 74000, 253400, 215200, 163800, 557400, 453800, 575600, 430400, 354600, 545400, 361400, 234200, 108000, 389000, 118400, 187400, 425000]"
24,pairwise dist,25,[1137 1808  158 ... 2126  173 2621],"[227200, 361400, 31400, 274000, 139200, 389000, 354600, 78400, 557400, 196800, 187400, 551200, 545400, 317400, 590600, 42000, 163800, 255200, 483400, 61400, 453800, 113400, 425000, 34400, 524000]"
25,pairwise dist,26,[2133 2270  165 ... 2455 2010  552],"[426400, 453800, 32800, 507600, 163800, 227200, 590600, 389000, 317400, 149800, 246800, 34400, 78600, 545400, 139200, 354600, 361400, 276400, 557400, 196800, 42000, 425000, 187400, 490800, 401800, 110200]"
26,pairwise dist,27,[2647  216 2010 ... 1774  568  211],"[529200, 43000, 401800, 453800, 163800, 78400, 215200, 592000, 196800, 360400, 253400, 139200, 290200, 233200, 389000, 415800, 545400, 571600, 507600, 361400, 187400, 557400, 425000, 34400, 354600, 113400, 42000]"
27,pairwise dist,28,[2536 1689 1433 ... 1818 1077  592],"[507000, 337600, 286400, 34400, 590000, 196800, 233200, 555200, 42000, 139200, 389000, 23200, 425000, 545400, 163800, 330400, 255200, 187400, 297800, 483400, 565400, 57800, 507600, 453800, 153400, 363400, 215200, 118200]"
28,pairwise dist,29,[2539  593 1689 ...  768 2961  938],"[507600, 118400, 337600, 581800, 163800, 215200, 34400, 389000, 453800, 274000, 545400, 139200, 506400, 42000, 50800, 196800, 255200, 515600, 557400, 57800, 354800, 401800, 363400, 234200, 295600, 425000, 153400, 592000, 187400]"
29,pairwise dist,30,[ 638 1172 2329 ...  987  158 1676],"[127400, 234200, 465600, 61400, 255200, 557400, 389000, 507600, 78600, 163800, 295600, 319600, 590600, 205400, 13200, 545400, 290200, 454200, 215200, 415800, 346000, 139200, 401800, 42000, 187400, 425000, 363400, 197200, 31400, 335000]"
30,pairwise dist,31,[1946  568 2080 ...  173  187 2788],"[389000, 113400, 415800, 319600, 163600, 592000, 215200, 453800, 144600, 507600, 57800, 545400, 363400, 187400, 575600, 65800, 255200, 196800, 234200, 42000, 118400, 144200, 425000, 176200, 401800, 297800, 290200, 354600, 34400, 37200, 557400]"
31,pairwise dist,32,[2986  302 2010 ... 1479 2910 1077],"[597000, 60200, 401800, 453800, 176200, 233200, 144600, 337600, 529200, 545400, 52400, 507600, 425000, 389000, 72800, 246800, 149800, 209400, 196800, 354800, 557400, 483400, 363400, 187400, 157000, 17400, 565400, 286400, 255200, 295600, 581800, 215200]"
32,pairwise dist,33,[ 290 1490 2566 ...  697 1277 1383],"[57800, 297800, 513000, 163600, 113400, 13200, 590600, 228000, 401800, 64000, 485200, 453800, 42000, 545400, 557400, 176200, 415800, 215200, 310600, 187400, 425000, 389000, 360400, 196800, 319600, 346000, 234200, 354600, 507600, 31400, 139200, 255200, 276400]"
33,pairwise dist,34,[ 697  568 1599 ... 1383 1028 1810],"[139200, 113400, 319600, 507600, 215200, 401800, 592000, 42000, 163800, 454200, 545400, 400400, 120000, 425000, 253400, 557400, 197200, 297800, 187400, 415800, 399200, 571600, 57800, 354600, 34400, 465600, 234200, 490800, 65800, 31000, 118400, 276400, 205400, 361800]"
34,pairwise dist,35,[1954 1689  638 ...  173 2126  211],"[390600, 337600, 127400, 507600, 210400, 585000, 196800, 82200, 529200, 290200, 415800, 43000, 545400, 310600, 139200, 228000, 401800, 453800, 125600, 297800, 176200, 557400, 574200, 569400, 400400, 354800, 163600, 187400, 118400, 236000, 255200, 360400, 34400, 425000, 42000]"
