,f_name,k,inds,frame_number
0,pairwise distance to 4 points,1,[2369],[473600]
1,pairwise distance to 4 points,2,[2369  785],"[473600, 156800]"
2,pairwise distance to 4 points,3,[2382  489   67],"[476200, 97600, 13200]"
3,pairwise distance to 4 points,4,[ 946  485 2129 2823],"[189000, 96800, 425600, 564400]"
4,pairwise distance to 4 points,5,[ 598 2369  335  946   67],"[119400, 473600, 66800, 189000, 13200]"
5,pairwise distance to 4 points,6,[ 135  598  946 2129  358 2823],"[26800, 119400, 189000, 425600, 71400, 564400]"
6,pairwise distance to 4 points,7,[ 598 2363   67  946 1364 2823  335],"[119400, 472400, 13200, 189000, 272600, 564400, 66800]"
7,pairwise distance to 4 points,8,[1369 1615   67  598  946  335 2431 2823],"[273600, 322800, 13200, 119400, 189000, 66800, 486000, 564400]"
8,pairwise distance to 4 points,9,[1615   67  358 2431  179 1116 1369 2823  598],"[322800, 13200, 71400, 486000, 35600, 223000, 273600, 564400, 119400]"
9,pairwise distance to 4 points,10,[ 256 2431  943  598 1265 2823  358 1939   67 1615],"[51000, 486000, 188400, 119400, 252800, 564400, 71400, 387600, 13200, 322800]"
10,pairwise distance to 4 points,11,[ 933 1615 2823 ... 1275 1116  256],"[186400, 322800, 564400, 119400, 387600, 13200, 486000, 71400, 254800, 223000, 51000]"
11,pairwise distance to 4 points,12,[ 256 2566 1615 ... 2823 1939 2677],"[51000, 513000, 322800, 119400, 13200, 223000, 186400, 71400, 254800, 564400, 387600, 535200]"
12,pairwise distance to 4 points,13,[1016  598 1939 ... 2823 1275 1123],"[203000, 119400, 387600, 513000, 322800, 535200, 51000, 71400, 172800, 13200, 564400, 254800, 224400]"
13,pairwise distance to 4 points,14,[ 657 2677 1939 ...  514 1016 1275],"[131200, 535200, 387600, 172800, 322800, 13200, 564400, 51000, 71400, 230200, 513000, 102600, 203000, 254800]"
14,pairwise distance to 4 points,15,[ 514 1939 1676 ... 2677 1016 1469],"[102600, 387600, 335000, 224400, 513000, 71400, 13200, 172800, 51000, 254800, 564400, 131200, 535200, 203000, 293600]"
15,pairwise distance to 4 points,16,[1469 1275 2566 ...  657  107 1676],"[293600, 254800, 513000, 102600, 564400, 51000, 5800, 172800, 387600, 71400, 230200, 535200, 203000, 131200, 21200, 335000]"
