,Unnamed: 0,exp_id,frame_id,act_cnt_05,act_cnt_1,act_cnt_5,act_cnt_10,sign_at_05,sign_at_1,sign_at_5,sign_at_10,missing_dock_data
0,0,0,114,0,0,0,0,0,0,0,0,1
1,1,0,809,0,0,0,0,0,0,0,0,1
2,2,0,1375,3,6,72,135,0,0,1,1,0
3,3,0,892,0,0,40,79,0,0,0,0,0
4,4,0,916,0,0,0,0,0,0,0,0,1
5,5,0,1695,1,2,26,100,0,0,0,0,0
6,6,0,594,0,4,52,108,0,0,0,1,0
7,7,0,1214,0,5,38,70,0,0,0,0,0
8,8,0,2132,7,9,69,139,0,0,1,1,0
9,9,0,642,4,6,30,81,0,0,0,0,0
10,10,0,1915,0,0,0,0,0,0,0,0,1
11,11,0,894,2,3,50,99,0,0,0,0,0
12,12,0,1754,3,8,83,148,0,0,1,1,0
13,13,0,1304,14,28,93,164,1,1,1,1,0
14,14,1,348,0,2,39,66,0,0,0,0,0
15,15,1,1229,9,19,89,170,1,1,1,1,0
16,16,2,113,2,3,28,80,0,0,0,0,0
17,17,2,2181,0,1,37,76,0,0,0,0,0
18,18,2,1414,2,12,56,124,0,0,0,1,0
19,19,2,916,0,0,0,0,0,0,0,0,1
20,20,2,348,0,2,39,66,0,0,0,0,0
21,21,2,2793,2,13,45,89,0,0,0,0,0
22,22,3,1229,9,19,89,170,1,1,1,1,0
23,23,3,154,0,1,31,71,0,0,0,0,0
24,24,4,876,0,0,0,0,0,0,0,0,1
25,25,4,1417,5,12,72,133,0,0,1,1,0
26,26,4,2970,0,0,0,0,0,0,0,0,1
27,27,4,1842,0,0,0,0,0,0,0,0,1
28,28,4,2424,0,0,0,0,0,0,0,0,1
29,29,4,2110,0,0,24,72,0,0,0,0,0
30,30,4,36,3,3,37,99,0,0,0,0,0
31,31,4,2807,5,9,17,35,0,0,0,0,0
32,32,4,1610,0,1,24,83,0,0,0,0,0
33,33,4,2299,12,20,100,185,1,1,1,1,0
34,34,4,1081,8,19,47,79,0,1,0,0,0
35,35,5,858,2,7,33,87,0,0,0,0,0
36,36,5,1590,0,0,22,75,0,0,0,0,0
37,37,5,1107,2,5,35,64,0,0,0,0,0
38,38,6,2381,35,59,152,206,1,1,1,1,0
39,39,6,2424,0,0,0,0,0,0,0,0,1
40,40,6,2970,0,0,0,0,0,0,0,0,1
41,41,6,2498,0,0,0,0,0,0,0,0,1
42,42,7,858,2,7,33,87,0,0,0,0,0
43,43,7,1590,0,0,22,75,0,0,0,0,0
44,44,7,1107,2,5,35,64,0,0,0,0,0
45,45,8,1444,2,3,28,103,0,0,0,0,0
46,46,9,1419,2,3,41,100,0,0,0,0,0
47,47,9,858,2,7,33,87,0,0,0,0,0
48,48,11,1419,2,3,41,100,0,0,0,0,0
49,49,11,858,2,7,33,87,0,0,0,0,0
