frame_ind,pdb_ind
4,800
6,1200
11,2200
12,2400
17,3600
24,5000
29,6000
32,6600
34,7000
40,8200
42,8600
48,9800
53,10800
57,11600
59,12000
64,13000
69,14000
71,14400
73,14800
74,15000
75,15200
91,18600
93,19000
95,19400
97,19800
100,20400
103,21000
107,21800
110,22400
114,23200
122,24800
124,25200
126,25600
131,26600
133,27000
135,27400
138,28000
140,28400
145,29400
147,29800
148,30000
152,31000
153,31400
158,32400
172,35400
175,36200
176,36600
178,37000
180,37400
181,37600
183,38000
185,38400
188,39000
189,39400
191,39800
192,40000
195,40600
202,42000
203,42200
205,42600
211,43800
213,44200
214,44400
216,44800
223,46200
225,46600
227,47000
233,48200
237,49000
243,50200
250,51600
261,53800
264,54400
276,56800
277,57200
279,57600
285,58800
289,59600
303,62600
315,65000
317,65400
319,65800
327,67400
345,71400
355,73600
357,74000
360,74600
363,75200
381,78800
383,79200
384,79400
392,81000
394,81400
399,82400
407,84200
419,86800
424,87800
425,88000
427,88400
433,89600
447,92600
455,94200
457,94600
463,96200
466,96800
469,97800
470,98000
486,101600
491,102600
504,105400
507,106000
514,107400
515,107600
516,107800
533,111200
536,111800
538,112200
539,112400
543,113200
544,113400
545,113600
548,114200
554,115400
560,116600
565,117600
566,117800
571,118800
573,119200
574,119400
575,119600
592,123000
606,125800
617,128000
627,130600
628,130800
631,131400
632,131600
633,131800
640,133200
649,135000
654,136200
663,138000
667,138800
668,139000
671,139600
675,140400
683,142000
685,142400
696,144600
706,146600
709,147200
714,148200
721,149600
723,150200
724,150400
729,151400
733,152200
736,152800
737,153000
746,154800
750,155600
754,156400
761,158000
763,158400
766,159000
769,159600
770,159800
778,161400
784,162600
786,163000
788,163400
791,164000
805,167000
806,167200
809,168000
810,168200
814,169200
815,169400
829,172200
833,173000
834,173200
836,173600
838,174000
839,174200
842,174800
843,175000
844,175200
845,175400
852,176800
855,177400
856,178000
859,178600
864,179800
867,180400
875,182000
876,182200
880,183000
882,183400
884,183800
885,184000
890,185000
899,187000
900,187200
903,187800
916,190400
922,192000
923,192200
931,193800
937,195000
942,196000
948,197200
950,197600
951,197800
953,198200
962,200000
967,201000
968,201200
973,202400
977,203200
983,204400
1001,208200
1002,208400
1003,208600
1006,209200
1011,210400
1019,212000
1025,213200
1027,213600
1034,215200
1047,218200
1061,221000
1065,221800
1066,222000
1080,225000
1092,227400
1111,231200
1118,232600
1119,232800
1120,233000
1121,233200
1130,235000
1131,235200
1135,236000
1146,238200
1147,238400
1149,239000
1151,239400
1152,239600
1155,240200
1161,241600
1182,245800
1186,246600
1197,248800
1199,249200
1202,249800
1203,250000
1204,250200
1207,250800
1208,251000
1217,252800
1224,254400
1230,255800
1241,258000
1245,258800
1259,262000
1260,262200
1261,262400
1265,263200
1270,264200
1275,265200
1280,266200
1293,268800
1310,272200
1315,273200
1318,273800
1319,274000
1324,275000
1330,276600
1341,278800
1349,280400
1354,281400
1365,283600
1369,284400
1378,286200
1380,286800
1383,287400
1409,292600
1413,293400
1416,294000
1418,294400
1422,295200
1423,295400
1426,296000
1433,297400
1435,297800
1441,299000
1446,300000
1448,300400
1450,300800
1453,301400
1455,301800
1457,302200
1472,305600
1479,308000
1486,309400
1497,311600
1498,311800
1503,312800
1507,313600
1509,314000
1514,315000
1519,316000
1523,317000
1528,318200
1533,319200
1538,320400
1545,321800
1554,323600
1556,324000
1558,324400
1560,324800
1565,325800
1567,326200
1568,326400
1569,326600
1574,327600
1577,328200
1579,328800
1581,329200
1582,329400
1589,331000
1594,332000
1596,332600
1598,333000
1601,333800
1603,334200
1605,334600
1606,334800
1619,337600
1620,337800
1626,339200
1627,339400
1628,339600
1629,339800
1635,341000
1637,341400
1642,342600
1647,343600
1650,344200
1651,344400
1661,346400
1670,348400
1672,349000
1692,353000
1701,354800
1703,355200
1705,355600
1710,356800
1714,357600
1720,359000
1728,360600
1732,361400
1733,361600
1734,361800
1738,362600
1752,365400
1758,366800
1759,367000
1760,367200
1767,368600
1772,369600
1773,369800
1779,371200
1780,371400
1790,373400
1799,375200
1805,376400
1809,377400
1811,377800
1814,378400
