traj_ind,file_name,file_index
0,at-frame0_noH.pdb,0
1,at-frame200_noH.pdb,200
2,at-frame400_noH.pdb,400
3,at-frame600_noH.pdb,600
4,at-frame800_noH.pdb,800
5,at-frame1000_noH.pdb,1000
6,at-frame1200_noH.pdb,1200
7,at-frame1400_noH.pdb,1400
8,at-frame1600_noH.pdb,1600
9,at-frame1800_noH.pdb,1800
10,at-frame2000_noH.pdb,2000
11,at-frame2200_noH.pdb,2200
12,at-frame2400_noH.pdb,2400
13,at-frame2600_noH.pdb,2600
14,at-frame2800_noH.pdb,2800
15,at-frame3000_noH.pdb,3000
16,at-frame3400_noH.pdb,3400
17,at-frame3600_noH.pdb,3600
18,at-frame3800_noH.pdb,3800
19,at-frame4000_noH.pdb,4000
20,at-frame4200_noH.pdb,4200
21,at-frame4400_noH.pdb,4400
22,at-frame4600_noH.pdb,4600
23,at-frame4800_noH.pdb,4800
24,at-frame5000_noH.pdb,5000
25,at-frame5200_noH.pdb,5200
26,at-frame5400_noH.pdb,5400
27,at-frame5600_noH.pdb,5600
28,at-frame5800_noH.pdb,5800
29,at-frame6000_noH.pdb,6000
30,at-frame6200_noH.pdb,6200
31,at-frame6400_noH.pdb,6400
32,at-frame6600_noH.pdb,6600
33,at-frame6800_noH.pdb,6800
34,at-frame7000_noH.pdb,7000
35,at-frame7200_noH.pdb,7200
36,at-frame7400_noH.pdb,7400
37,at-frame7600_noH.pdb,7600
38,at-frame7800_noH.pdb,7800
39,at-frame8000_noH.pdb,8000
40,at-frame8200_noH.pdb,8200
41,at-frame8400_noH.pdb,8400
42,at-frame8600_noH.pdb,8600
43,at-frame8800_noH.pdb,8800
44,at-frame9000_noH.pdb,9000
45,at-frame9200_noH.pdb,9200
46,at-frame9400_noH.pdb,9400
47,at-frame9600_noH.pdb,9600
48,at-frame9800_noH.pdb,9800
49,at-frame10000_noH.pdb,10000
50,at-frame10200_noH.pdb,10200
51,at-frame10400_noH.pdb,10400
52,at-frame10600_noH.pdb,10600
53,at-frame10800_noH.pdb,10800
54,at-frame11000_noH.pdb,11000
55,at-frame11200_noH.pdb,11200
56,at-frame11400_noH.pdb,11400
57,at-frame11600_noH.pdb,11600
58,at-frame11800_noH.pdb,11800
59,at-frame12000_noH.pdb,12000
60,at-frame12200_noH.pdb,12200
61,at-frame12400_noH.pdb,12400
62,at-frame12600_noH.pdb,12600
63,at-frame12800_noH.pdb,12800
64,at-frame13000_noH.pdb,13000
65,at-frame13200_noH.pdb,13200
66,at-frame13400_noH.pdb,13400
67,at-frame13600_noH.pdb,13600
68,at-frame13800_noH.pdb,13800
69,at-frame14000_noH.pdb,14000
70,at-frame14200_noH.pdb,14200
71,at-frame14400_noH.pdb,14400
72,at-frame14600_noH.pdb,14600
73,at-frame14800_noH.pdb,14800
74,at-frame15000_noH.pdb,15000
75,at-frame15200_noH.pdb,15200
76,at-frame15400_noH.pdb,15400
77,at-frame15600_noH.pdb,15600
78,at-frame15800_noH.pdb,15800
79,at-frame16000_noH.pdb,16000
80,at-frame16200_noH.pdb,16200
81,at-frame16400_noH.pdb,16400
82,at-frame16600_noH.pdb,16600
83,at-frame16800_noH.pdb,16800
84,at-frame17000_noH.pdb,17000
85,at-frame17200_noH.pdb,17200
86,at-frame17400_noH.pdb,17400
87,at-frame17600_noH.pdb,17600
88,at-frame18000_noH.pdb,18000
89,at-frame18200_noH.pdb,18200
90,at-frame18400_noH.pdb,18400
91,at-frame18600_noH.pdb,18600
92,at-frame18800_noH.pdb,18800
93,at-frame19000_noH.pdb,19000
94,at-frame19200_noH.pdb,19200
95,at-frame19400_noH.pdb,19400
96,at-frame19600_noH.pdb,19600
97,at-frame19800_noH.pdb,19800
98,at-frame20000_noH.pdb,20000
99,at-frame20200_noH.pdb,20200
100,at-frame20400_noH.pdb,20400
101,at-frame20600_noH.pdb,20600
102,at-frame20800_noH.pdb,20800
103,at-frame21000_noH.pdb,21000
104,at-frame21200_noH.pdb,21200
105,at-frame21400_noH.pdb,21400
106,at-frame21600_noH.pdb,21600
107,at-frame21800_noH.pdb,21800
108,at-frame22000_noH.pdb,22000
109,at-frame22200_noH.pdb,22200
110,at-frame22400_noH.pdb,22400
111,at-frame22600_noH.pdb,22600
112,at-frame22800_noH.pdb,22800
113,at-frame23000_noH.pdb,23000
114,at-frame23200_noH.pdb,23200
115,at-frame23400_noH.pdb,23400
116,at-frame23600_noH.pdb,23600
117,at-frame23800_noH.pdb,23800
118,at-frame24000_noH.pdb,24000
119,at-frame24200_noH.pdb,24200
120,at-frame24400_noH.pdb,24400
121,at-frame24600_noH.pdb,24600
122,at-frame24800_noH.pdb,24800
123,at-frame25000_noH.pdb,25000
124,at-frame25200_noH.pdb,25200
125,at-frame25400_noH.pdb,25400
126,at-frame25600_noH.pdb,25600
127,at-frame25800_noH.pdb,25800
128,at-frame26000_noH.pdb,26000
129,at-frame26200_noH.pdb,26200
130,at-frame26400_noH.pdb,26400
131,at-frame26600_noH.pdb,26600
132,at-frame26800_noH.pdb,26800
133,at-frame27000_noH.pdb,27000
134,at-frame27200_noH.pdb,27200
135,at-frame27400_noH.pdb,27400
136,at-frame27600_noH.pdb,27600
137,at-frame27800_noH.pdb,27800
138,at-frame28000_noH.pdb,28000
139,at-frame28200_noH.pdb,28200
140,at-frame28400_noH.pdb,28400
141,at-frame28600_noH.pdb,28600
142,at-frame28800_noH.pdb,28800
143,at-frame29000_noH.pdb,29000
144,at-frame29200_noH.pdb,29200
145,at-frame29400_noH.pdb,29400
146,at-frame29600_noH.pdb,29600
147,at-frame29800_noH.pdb,29800
148,at-frame30000_noH.pdb,30000
149,at-frame30200_noH.pdb,30200
150,at-frame30400_noH.pdb,30400
151,at-frame30600_noH.pdb,30600
152,at-frame31000_noH.pdb,31000
153,at-frame31400_noH.pdb,31400
154,at-frame31600_noH.pdb,31600
155,at-frame31800_noH.pdb,31800
156,at-frame32000_noH.pdb,32000
157,at-frame32200_noH.pdb,32200
158,at-frame32400_noH.pdb,32400
159,at-frame32600_noH.pdb,32600
160,at-frame32800_noH.pdb,32800
161,at-frame33000_noH.pdb,33000
162,at-frame33200_noH.pdb,33200
163,at-frame33400_noH.pdb,33400
164,at-frame33600_noH.pdb,33600
165,at-frame33800_noH.pdb,33800
166,at-frame34000_noH.pdb,34000
167,at-frame34200_noH.pdb,34200
168,at-frame34600_noH.pdb,34600
169,at-frame34800_noH.pdb,34800
170,at-frame35000_noH.pdb,35000
171,at-frame35200_noH.pdb,35200
172,at-frame35400_noH.pdb,35400
173,at-frame35800_noH.pdb,35800
174,at-frame36000_noH.pdb,36000
175,at-frame36200_noH.pdb,36200
176,at-frame36600_noH.pdb,36600
177,at-frame36800_noH.pdb,36800
178,at-frame37000_noH.pdb,37000
179,at-frame37200_noH.pdb,37200
180,at-frame37400_noH.pdb,37400
181,at-frame37600_noH.pdb,37600
182,at-frame37800_noH.pdb,37800
183,at-frame38000_noH.pdb,38000
184,at-frame38200_noH.pdb,38200
185,at-frame38400_noH.pdb,38400
186,at-frame38600_noH.pdb,38600
187,at-frame38800_noH.pdb,38800
188,at-frame39000_noH.pdb,39000
189,at-frame39400_noH.pdb,39400
190,at-frame39600_noH.pdb,39600
191,at-frame39800_noH.pdb,39800
192,at-frame40000_noH.pdb,40000
193,at-frame40200_noH.pdb,40200
194,at-frame40400_noH.pdb,40400
195,at-frame40600_noH.pdb,40600
196,at-frame40800_noH.pdb,40800
197,at-frame41000_noH.pdb,41000
198,at-frame41200_noH.pdb,41200
199,at-frame41400_noH.pdb,41400
200,at-frame41600_noH.pdb,41600
201,at-frame41800_noH.pdb,41800
202,at-frame42000_noH.pdb,42000
203,at-frame42200_noH.pdb,42200
204,at-frame42400_noH.pdb,42400
